SNID,norm_MJD,1stDet,MJD,BAND_r,BAND_i,BAND_g
b'1021974',59348,59335.41,59348.2745,18.411121368408203,18.36871337890625,18.73263168334961
b'1021974',59353,59335.41,59353.305,18.444778442382812,18.403696060180664,18.753604888916016
b'1021974',59354,59335.41,59354.328,18.475990295410156,18.32766342163086,18.836177825927734
b'1021974',59357,59335.41,59357.31,18.49704360961914,18.336864471435547,18.869140625
b'1021974',59359,59335.41,59359.29,18.504165649414062,18.331645965576172,19.091327667236328
b'1021974',59362,59335.41,59362.345,18.529987335205078,18.35353660583496,19.009775161743164
b'1021974',59363,59335.41,59363.313833333326,18.512229919433594,18.32792854309082,19.102121353149414
b'1021974',59364,59335.41,59364.26,18.51213836669922,18.32147216796875,19.160247802734375
b'102273',59243,59243.22,59243.2275,17.65908432006836,17.893526077270508,18.103046417236328
b'102273',59246,59243.22,59246.23,16.736736297607422,16.962909698486328,17.078712463378906
b'102273',59252,59243.22,59252.2152,15.815509796142578,16.01958465576172,16.157569885253906
b'102273',59255,59243.22,59255.23,15.701522827148438,15.81602954864502,16.01520538330078
b'102273',59258,59243.22,59258.23,15.64518928527832,15.720487594604492,16.069393157958984
b'102273',59267,59243.22,59267.23,15.949747085571289,15.832674026489258,16.806438446044922
b'102273',59272,59243.22,59272.235,16.258358001708984,16.04690933227539,17.257198333740234
b'1024489',59258,59258.23,59258.23,17.57827377319336,17.66299819946289,17.324256896972656
b'1024489',59267,59258.23,59267.23,15.849637031555176,15.759425163269043,15.846267700195312
b'1024489',59272,59258.23,59272.235,15.892467498779297,15.797638893127441,15.95598030090332
b'1024489',59277,59258.23,59277.24,15.921736717224121,15.884613037109375,16.077957153320312
b'102518',58937,58937.387,58937.5165,21.20500946044922,20.65326690673828,21.303916931152344
b'1027263',59318,59318.25,59318.2475,20.507383346557617,20.483043670654297,20.301654815673828
b'1027263',59319,59318.25,59319.24583333333,19.10239028930664,19.339082717895508,19.070297241210938
b'1027263',59320,59318.25,59320.265,18.329898834228516,18.603313446044922,18.29834747314453
